#	X1	L1(X1)	L2(X1)
  3.83000   7.13905   3.98958
  3.84000   7.14272   4.00000
  3.85000   7.14637   4.01042
  3.86000   7.15002   4.02083
  3.87000   7.15365   4.03125
  3.88000   7.15728   4.04167
  3.89000   7.16089   4.05208
  3.90000   7.16450   4.06250
  3.91000   7.16809   4.07292
  3.92000   7.17168   4.08333
  3.93000   7.17525   4.09375
  3.94000   7.17882   4.10417
  3.95000   7.18237   4.11458
  3.96000   7.18592   4.12500
  3.97000   7.18945   4.13542
  3.98000   7.19298   4.14583
  3.99000   7.19649   4.15625
  4.00000   7.20000   4.16667
  4.01000   7.20349   4.17708
  4.02000   7.20698   4.18750
  4.03000   7.21045   4.19792
  4.04000   7.21392   4.20833
  4.05000   7.21737   4.21875
  4.06000   7.22082   4.22917
  4.07000   7.22425   4.23958
  4.08000   7.22768   4.25000
  4.09000   7.23109   4.26042
  4.10000   7.23450   4.27083
  4.11000   7.23789   4.28125
  4.12000   7.24128   4.29167
  4.13000   7.24465   4.30208
  4.14000   7.24802   4.31250
  4.15000   7.25137   4.32292
  4.16000   7.25472   4.33333
  4.17000   7.25805   4.34375
  4.18000   7.26138   4.35417
  4.19000   7.26469   4.36458
  4.20000   7.26800   4.37500
  4.21000   7.27129   4.38542
  4.22000   7.27458   4.39583
  4.23000   7.27785   4.40625
  4.24000   7.28112   4.41667
  4.25000   7.28437   4.42708
  4.26000   7.28762   4.43750
  4.27000   7.29085   4.44792
  4.28000   7.29408   4.45833
  4.29000   7.29729   4.46875
  4.30000   7.30050   4.47917
  4.31000   7.30369   4.48958
  4.32000   7.30688   4.50000
  4.33000   7.31005   4.51042
  4.34000   7.31322   4.52083
  4.35000   7.31637   4.53125
  4.36000   7.31952   4.54167
  4.37000   7.32265   4.55208
  4.38000   7.32578   4.56250
  4.39000   7.32889   4.57292
  4.40000   7.33200   4.58333
  4.41000   7.33509   4.59375
  4.42000   7.33818   4.60417
  4.43000   7.34125   4.61458
  4.44000   7.34432   4.62500
  4.45000   7.34737   4.63542
  4.46000   7.35042   4.64583
  4.47000   7.35345   4.65625
  4.48000   7.35648   4.66667
  4.49000   7.35949   4.67708
